Code,Age,Household Number,Household with Children Number,Household with Children Ratio
95125,41.8,53734,8224,0.15305021
1801,40.4,40799,5199,0.127429594
24523,47.3,19926,2180,0.109404798
40218,35.1,34035,3871,0.11373586
63141,48.8,20633,3003,0.145543547
70808,31.2,33996,4117,0.121102483
32448,43.9,8496,768,0.09039548
30519,36.5,48205,10827,0.224603257
70508,38.4,40704,5917,0.145366549
11234,41.1,94554,13240,0.140025805
84115,33.4,27520,3090,0.112281977
55106,30.3,59412,9124,0.153571669
32822,36.3,62433,4645,0.074399757
30134,37.2,43875,5670,0.129230769
14760,44.5,17832,2104,0.11799013
67301,38.4,12633,1848,0.146283543
28803,42.1,34867,4232,0.121375513
19134,31.5,62764,4127,0.065754254
70806,35.1,28899,2581,0.089311049
85710,40.5,55083,4687,0.085089774
37919,38.5,29425,4182,0.142124044
4901,41.6,27181,2826,0.103969685
60085,31,71471,9972,0.139525122
76205,29.5,21558,1977,0.091706095
87031,37.6,44847,6527,0.145539278
60657,31.5,71731,7674,0.106983034
43232,34.5,47750,3740,0.078324607
29212,44.1,29756,3293,0.110666756
91405,34.8,56111,7205,0.128406195
32168,55.2,27980,2715,0.097033595
7740,37.4,31079,3315,0.106663664
6042,35,23396,3206,0.137031971
85257,36.4,33756,2335,0.069172888
67214,33.4,15112,1266,0.083774484
26170,43.8,6343,818,0.128961059
48708,41.6,26108,2786,0.106710587
91040,47.8,20267,2200,0.108550846
46225,37,5637,390,0.069185737
82001,35.5,36609,4834,0.132044033
73107,33.8,25237,3549,0.140626857
73135,34.3,22525,3012,0.133718091
32097,38,19237,2659,0.138223216
1862,44,10738,1385,0.128981188
34741,33.3,48230,5406,0.112087912
29906,28.4,27391,3838,0.140119017
77864,37,7644,1224,0.160125589
26505,25.6,39662,2166,0.054611467
29550,41.3,33017,3680,0.111457734
75240,30.3,28845,3938,0.136522794
34714,34.9,22624,2656,0.117397454
50266,34.7,29959,4918,0.164157682
23185,42.9,48416,5720,0.118142763
43351,44.5,10165,1162,0.114313822
37660,45,39430,4215,0.106898301
75081,36.7,40704,5339,0.13116647
38109,42,45400,1986,0.043744493
26501,39.1,22440,2470,0.110071301
90807,42.5,32553,3515,0.107977759
34474,41.1,17329,2071,0.119510647
77901,32.1,43521,4634,0.106477333
32763,45,23530,2346,0.099702507
37207,35,39975,3140,0.078549093
48843,41.3,46040,7787,0.169135534
21042,44.7,41644,8699,0.208889636
90230,40.8,33043,4575,0.138455951
31907,35,58599,4726,0.08064984
14850,28,64921,5116,0.078803469
60007,44.3,33522,4622,0.137879601
19139,32.7,46903,1848,0.039400465
40160,36.3,23386,2005,0.085735055
12866,44.3,40121,4247,0.105854789
44134,43.7,36979,4222,0.114172909
37716,45.8,27273,3208,0.11762549
95051,35.7,60503,9885,0.163380328
65262,34.8,802,124,0.154613466
